,Time(ms),V,Time(ms),mA
0,1355,-4.971227,1358,100.0
1,1360,-4.82524,1364,100.0
2,1367,-4.322677,1370,100.0
3,1373,-3.917268,1376,100.0
4,1378,-3.348372,1381,100.0
5,1384,-2.535006,1387,100.0
6,1389,-1.876843,1393,100.0
7,1395,-0.929889,1398,100.0
8,1400,-0.156082,1404,100.0
9,1406,0.785863,1410,100.0
10,1412,1.718929,1416,100.0
11,1418,2.521776,1421,100.0
12,1423,3.124655,1427,100.0
13,1429,3.885179,1432,100.0
14,1434,4.284607,1438,100.0
15,1440,4.611336,1443,100.0
16,1445,4.830983,1449,100.0
17,1452,5.09037,1455,100.0
18,1457,4.933241,1460,100.0
19,1463,4.560733,1466,100.0
20,1468,4.239753,1471,100.0
21,1474,3.730483,1477,100.0
22,1479,3.221444,1482,100.0
23,1485,2.423569,1488,100.0
24,1490,1.710957,1494,100.0
25,1497,0.616118,1500,100.0
26,1502,-0.155253,1505,100.0
27,1508,-1.103557,1511,100.0
28,1513,-1.826299,1517,100.0
29,1519,-2.660738,1522,100.0
30,1524,-3.353531,1528,100.0
31,1530,-3.994572,1533,100.0
32,1536,-4.394946,1540,100.0
33,1542,-4.895349,1545,100.0
34,1548,-5.001518,1551,100.0
35,1553,-4.945586,1556,100.0
36,1559,-4.823115,1562,100.0
37,1564,-4.543029,1568,100.0
38,1570,-4.083891,1573,100.0
39,1575,-3.626092,1580,100.0
40,1582,-2.813584,1585,100.0
41,1588,-2.144481,1591,100.0
42,1593,-1.260264,1596,100.0
43,1599,-0.308417,1602,100.0
44,1604,0.472343,1607,100.0
45,1610,1.383045,1613,100.0
46,1615,2.149991,1618,100.0
47,1622,2.906902,1625,100.0
48,1627,3.616602,1630,100.0
49,1633,4.202783,1636,100.0
50,1638,4.618568,1641,100.0
51,1644,4.775747,1647,100.0
52,1649,5.007735,1652,100.0
53,1654,4.883474,1658,100.0
54,1660,4.822807,1664,100.0
55,1666,4.421798,1670,100.0
56,1672,3.90032,1675,100.0
57,1677,3.449674,1681,100.0
58,1683,2.648838,1686,100.0
59,1688,1.999849,1692,100.0
60,1694,1.074529,1697,100.0
61,1699,0.313449,1703,100.0
62,1705,-0.638551,1709,100.0
63,1711,-1.519557,1715,100.0
64,1717,-2.415725,1720,100.0
65,1722,-3.099166,1726,100.0
66,1728,-3.719167,1731,100.0
67,1734,-4.319355,1737,100.0
68,1739,-4.580856,1742,100.0
69,1745,-4.946626,1748,100.0
70,1751,-5.0711,1755,100.0
71,1757,-4.997561,1760,100.0
72,1762,-4.667865,1766,100.0
73,1768,-4.287807,1771,100.0
74,1774,-3.908946,1777,100.0
75,1779,-3.195097,1782,100.0
76,1785,-2.388501,1788,100.0
77,1790,-1.717469,1795,100.0
78,1797,-0.623061,1800,100.0
79,1802,0.156555,1806,100.0
80,1808,1.073814,1811,100.0
81,1813,1.805562,1817,100.0
82,1819,2.657618,1822,100.0
83,1824,3.27987,1828,100.0
84,1830,3.941156,1833,100.0
85,1836,4.444372,1839,100.0
86,1842,4.830847,1845,100.0
87,1847,4.996173,1850,100.0
88,1853,5.010051,1856,100.0
89,1858,4.904226,1861,100.0
90,1864,4.584839,1867,100.0
91,1869,4.214103,1872,100.0
92,1875,3.821144,1879,100.0
93,1881,2.96659,1884,100.0
94,1887,2.302476,1890,100.0
95,1892,1.42093,1895,100.0
96,1897,0.620313,1901,100.0
97,1903,-0.315318,1906,100.0
98,1909,-1.096579,1912,100.0
99,1914,-1.946641,1917,100.0
100,1921,-2.935153,1924,100.0
101,1926,-3.538507,1930,100.0
102,1932,-4.12396,1935,100.0
103,1937,-4.534665,1941,100.0
104,1943,-4.75727,1946,100.0
105,1948,-5.036912,1952,100.0
106,1954,-5.013581,1957,100.0
107,1960,-4.780169,1964,100.0
108,1966,-4.402858,1969,100.0
109,1972,-3.978547,1975,100.0
110,1977,-3.393808,1981,100.0
111,1983,-2.717581,1986,100.0
112,1988,-1.985667,1992,100.0
113,1994,-1.080479,1997,100.0
114,2000,-0.307609,2003,100.0
115,2006,0.626357,2009,100.0
116,2012,1.534751,2015,100.0
117,2017,2.42959,2020,100.0
118,2023,3.063074,2026,100.0
119,2028,3.807092,2031,100.0
120,2033,4.244741,2037,100.0
121,2039,4.685876,2042,100.0
122,2044,4.909314,2049,100.0
123,2051,4.947299,2054,100.0
124,2056,4.9485,2060,100.0
